wavenumber_cm-1,wavelength_vac_A,wavelength_air_A,intensity
4257.925,23485.618,23479.2104,0.999046
4257.93,23485.5904,23479.1829,0.999265
4257.935,23485.5628,23479.1553,0.999657
4257.94,23485.5353,23479.1277,1.000191
4257.945,23485.5077,23479.1001,1.000818
4257.95,23485.4801,23479.0726,1.001485
4257.955,23485.4525,23479.045,1.002134
4257.96,23485.4249,23479.0174,1.002714
4257.965,23485.3974,23478.9899,1.003182
4257.97,23485.3698,23478.9623,1.003505
4257.975,23485.3422,23478.9347,1.003667
4257.98,23485.3146,23478.9071,1.003662
4257.985,23485.2871,23478.8796,1.0035
4257.99,23485.2595,23478.852,1.003196
4257.995,23485.2319,23478.8244,1.002778
4258.0,23485.2043,23478.7969,1.002275
4258.005,23485.1767,23478.7693,1.001713
4258.01,23485.1492,23478.7417,1.00112
4258.015,23485.1216,23478.7142,1.000515
4258.02,23485.094,23478.6866,0.999911
4258.025,23485.0664,23478.659,0.999326
4258.03,23485.0389,23478.6314,0.998766
4258.035,23485.0113,23478.6039,0.998247
4258.04,23484.9837,23478.5763,0.997781
4258.045,23484.9561,23478.5487,0.997384
4258.05,23484.9285,23478.5212,0.997072
4258.055,23484.901,23478.4936,0.996864
4258.06,23484.8734,23478.466,0.996772
4258.065,23484.8458,23478.4385,0.996805
4258.07,23484.8182,23478.4109,0.996968
4258.075,23484.7907,23478.3833,0.99726
4258.08,23484.7631,23478.3557,0.997669
4258.085,23484.7355,23478.3282,0.998186
4258.09,23484.7079,23478.3006,0.998784
4258.095,23484.6804,23478.273,0.99944
4258.1,23484.6528,23478.2455,1.000122
4258.105,23484.6252,23478.2179,1.000797
4258.11,23484.5976,23478.1903,1.001424
4258.115,23484.5701,23478.1628,1.001965
4258.12,23484.5425,23478.1352,1.002375
4258.125,23484.5149,23478.1076,1.002612
4258.13,23484.4873,23478.0801,1.002633
4258.135,23484.4597,23478.0525,1.00241
